オワタ\n\(^o^)/,おわた\n\(^o^)/
阿部寛のホームページ,あべひろしのほーむぺーじ
阿部寛のホームページRTA,あべひろしのほーむぺーじrta
世間は許してくれえゃすぇんよ,せけんはゆるしてくれえゃすぇんよ
お前を消す方法,おまえをけすほうほう
キーボードクラッシャー,きーぼーどくらっしゃー
タピオカパン,たぴおかぱん
プニキ,ぷにき
チキン冷めちゃった,ちきんさめちゃった
あ～水素の音ぉ～,あーすいそのおとぉー
最後までチョコたっぷり,さいごまでちょこたっぷり
やまがたりんごをたべるんごー,やまがたりんごをたべるんごー
違う、そうじゃない,ちがうそうじゃない
止まるんじゃねぇぞ,とまるんじゃねぇぞ
勝ち取りたい物もない,かちとりたいものもない
なぜ笑うんだい？彼のポルトガル語は上手だよ,なぜわらうんだいかれのぽるとがるごはじょうずだよ
２位じゃダメなんでしょうか？,２いじゃだめなんでしょうか
ぬるぽｶﾞｯ,ぬるぽがっ
乗るしかないこのビッグウェーブに,のるしかないこのびっぐうぇーぶに
水の様に優しく,みずのようにやさしく
バジリスクタイム,ばじりすくたいむ
それってあなたの感想ですよね,それってあなたのかんそうですよね
ま、嘘なんですけどね,まうそなんですけどね
無限ループって怖くね？,むげんるーぷってこわくね
物売るってレベルじゃねぇぞ！,ものうるってれべるじゃねぇぞ
ゆっくりしていってね！！！,ゆっくりしていってね
ぼっさん,ぼっさん
ルイズぅぅううう,るいずぅううう
わたし、気になります！,わたしきになります
ンゴｗ,んごw
33-4,33-4
なんでや阪神関係無いやろ！,なんでやはんしんかんけいないやろ
むりぽ,むりぽ
詳細キボンヌ,しょうさいきぼんぬ
帝京平成大学のここがすごい！,ていきょうへいせいだいがくのここがすごい
失礼しました熱盛と出てしまいました,しつれいしましたあつもりとでてしまいました
人だね殺します,ひとだねころします
今日も一日がんばるぞい！,きょうもいちにちがんばるぞい
＊ただしイケメンに限る,ただしいけめんにかぎる
Daisuke,daisuke
でも幸せならOKです,でもしあわせならokです
ｵﾝﾄﾞｩﾙﾙﾗｷﾞｯﾀﾝﾃﾞｨｽｶ-!,おんどぅるるらぎったんでぃすかー
ﾅｽﾞｪﾐﾃﾞﾙﾝﾃﾞｨｽ!,なずぇみでるんでぃす
ｵﾃﾞﾉｶﾗﾀﾞﾊﾎﾞﾄﾞﾎﾞﾄﾞﾀﾞ!,おでのからだはぼどぼどだ
